CLV,Nombre,Dirección,Capacidad de personas,Capacidad de familias,Municipio,Ubicación
REF-ACA-01,Bachilleres No.2,"Av. Del Mar, Cañada De Los Amates, S/N, Col. Jardín De Los Amate",150,37,Acapulco,https://maps.app.goo.gl/sfL4RUUPCzRDJHH26
REF-ACA-02,Centro De Estudios Tec. Del Mar #18,Carr. Acá-Pie De La Cuesta Km 08 Col. Jardín Palmas,200,50,Acapulco,https://maps.app.goo.gl/23ydvtgdKxCPKW928
REF-ACA-03,CECATI No. 41,Carretera Pie De La Cuesta Km 6.5,60,15,Acapulco,https://maps.app.goo.gl/wZJDkC6Ha455Y6xX6
REF-ACA-04,Cetís No. 90,"Retorno Educación Esq. Alta Quebradora, Col. Renacimiento",440,110,Acapulco,https://maps.app.goo.gl/VYJBhzXhmYDxPpQ26
REF-ACA-05,Colegio De Bachilleres No.16,"Calle 14 Esq. Calle 30 S/N, Col. Postal",280,70,Acapulco,https://maps.app.goo.gl/4jSNhYHeBUae3kv66
REF-ACA-06,DIF Margarita Maza De Juárez," Calle Victoria, Col. La Laja",500,125,Acapulco,https://maps.app.goo.gl/k9M6HNu2D9gpcXaN9
REF-ACA-07,Esc. Prim Fed. Francisco Figueroa Mata,Av. Las Torres Circuito Nororiente No.30 Colonia El Coloso,160,40,Acapulco,https://maps.app.goo.gl/tZHBZiWBuhr5vmfB6
REF-ACA-08,Esc. Prim. Netzahualcóyotl,"Calle 8, Esq. Calle Zapata S/N, Col. Extensión Icacos",100,25,Acapulco,https://maps.app.goo.gl/8QZ39Ad6ThEMXQEA8
REF-ACA-09,"Esc. Prim. ""Guadalupe Victoria""",Guadalupe Victoria No.6 Col. El Pedregoso,150,37,Acapulco,https://maps.app.goo.gl/yk97FNo94nXJtrnU7
REF-ACA-10,"Esc. Prim. ""Plan De Ayutla""","San Isidro S/N, Col. San Isidro",180,45,Acapulco,https://maps.app.goo.gl/e78TSSEbZpn2UYDc8
REF-ACA-11,Esc. Prim. Felicitas V. Jiménez,"Calle Lerdo De Tejada S/N, Colonia Plan De Los Amates",150,37,Acapulco,https://maps.app.goo.gl/HNbUuqJ6g3SjvSy3A
REF-ACA-12,Esc. Prim. José Guadalupe Zuno Hernández,"Av. Principal S/N, Col. Cumbres Del Llano Largo",100,25,Acapulco,https://maps.app.goo.gl/PiW4ahboW1ZYMTdL8
REF-ACA-13,Esc. Prim. Juan Álvarez,"Calle 8 De Septiembre y 9 de Agosto S/N, Colonia Mártires de Cuilapa",100,25,Acapulco,https://maps.app.goo.gl/B4PpkA6YyeHKb3oQA
REF-ACA-14,Esc. Prim. Juan Escutia,"Av. Granjas S/N, Col. Huertas De Sta. Elena",280,70,Acapulco,https://maps.app.goo.gl/eV7nsT4du95jwuTq8
REF-ACA-15,Esc. Prim. María Orozco De Marrón,"Calle Hilario Malpica S/N, Col. Costa Azul",200,50,Acapulco,https://maps.app.goo.gl/w8jR5T2LDWg118UN6
REF-ACA-16,Esc. Prim. Plan De Ayala,"Entre Calle 10 Y 2 S/N, Col. Emiliano Zapata",360,90,Acapulco,https://maps.app.goo.gl/w8jR5T2LDWg118UN6
REF-ACA-17,Esc. Prim. Urbana Artículo 123,Prolongación Av. Las Torres S/N Colonia El Coloso,150,37,Acapulco,https://maps.app.goo.gl/Fk2cbaxbKNB7BGpu8
REF-ACA-19,Esc. Sec. David Alfaro Siqueiros,"Calle Juan R. Escudero S/N, Colonia Ampliación La Venta",280,70,Acapulco,https://maps.app.goo.gl/MMv6RpceYXRPrHqg9
REF-ACA-20,Esc. Sec. Fed. Acapulco No. 4,"C. 5, Esq. Emiliano Zapata Col. Bella Vista",550,137,Acapulco,https://maps.app.goo.gl/SdxnhpBgwbDSaewk6
REF-ACA-21,Esc. Sec. Fed. Amado Nervo,Av. Solidaridad Fracc. Hornos Insurgentes,200,50,Acapulco,https://maps.app.goo.gl/SYbTKFXUdFRiDHJdA
